EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,EXT1_E,EXT2_E,EXT3_E,EXT4_E,EXT5_E,EXT6_E,EXT7_E,EXT8_E,EXT9_E,EXT10_E,EST1_E,EST2_E,EST3_E,EST4_E,EST5_E,EST6_E,EST7_E,EST8_E,EST9_E,EST10_E,AGR1_E,AGR2_E,AGR3_E,AGR4_E,AGR5_E,AGR6_E,AGR7_E,AGR8_E,AGR9_E,AGR10_E,CSN1_E,CSN2_E,CSN3_E,CSN4_E,CSN5_E,CSN6_E,CSN7_E,CSN8_E,CSN9_E,CSN10_E,OPN1_E,OPN2_E,OPN3_E,OPN4_E,OPN5_E,OPN6_E,OPN7_E,OPN8_E,OPN9_E,OPN10_E,dateload,screenw,screenh,introelapse,testelapse,endelapse,IPC,country,lat_appx_lots_of_err,long_appx_lots_of_err
4,2,3,3,5,2,4,3,3,2,2,4,2,4,2,3,2,2,2,2,1,4,1,5,2,5,2,4,5,5,3,2,4,1,3,2,4,3,4,4,4,1,5,1,5,1,4,4,5,5,26081,4973,4815,3121,4769,3812,3351,8303,6415,3882,4798,7172,4659,4923,6569,4050,3578,2441,5136,1858,5708,5881,12128,3398,3260,2100,5050,3476,2447,2513,9084,1099,3658,4919,13212,4577,5426,5768,2142,3720,3044,3298,4265,2778,7269,3132,3472,2553,2052,2651,2018-11-07T07:35:48Z,360,640,1656,250,12,1,US,41.7798,-71.4373
5,1,5,1,5,1,5,1,5,1,1,3,5,3,1,1,3,1,1,3,4,5,5,2,1,1,1,4,2,1,5,5,5,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,5,5,4799,2259,2425,2487,2399,1152,2729,1667,2412,1709,1515,2525,2267,1666,3648,2277,2897,2633,1382,2278,3543,2188,1497,4273,1276,6219,2019,5770,4277,2987,4500,1212,1834,5364,3022,6681,1294,2329,2057,3031,2507,2571,1684,2196,2375,1506,2321,2259,2065,1285,2018-05-15T03:10:20Z,1366,768,4,135,7,1,US,42.2776,-83.7409
1,3,5,5,3,3,1,5,3,3,5,4,5,5,3,3,5,5,2,5,5,5,1,5,2,5,2,3,5,5,1,3,3,3,2,1,3,4,3,1,3,5,5,2,3,1,2,3,5,3,28488,4143,2399,1725,4139,4988,4025,2517,3259,2843,6685,3076,1780,2302,8263,1818,4844,2083,2550,1934,3587,2502,1765,1725,3504,2201,9988,6561,6708,9979,3640,13917,4884,2518,1007,3366,2360,2903,3067,8357,651,4203,1828,6136,2097,4046,3710,2575,2735,7752,2016-06-18T20:09:22Z,375,667,2,228,13,3,US,38.0,-97.0
5,1,5,1,4,1,4,1,5,1,2,4,2,5,2,1,2,1,1,1,1,5,4,5,1,5,1,5,5,5,3,1,4,1,3,2,3,3,3,3,4,1,5,1,5,1,4,4,5,5,3898,2416,1927,2367,2363,1192,3184,2352,4096,3375,2576,2351,3568,1849,3504,4656,2912,2408,2952,2512,2519,2535,2025,1481,3055,3848,3624,1992,1568,2249,3872,3057,3652,2759,3616,3224,3088,2296,1648,3216,2456,3321,1872,3197,3216,1656,3088,3480,2320,1535,2016-05-10T07:18:08Z,1920,1080,2,139,12,1,GB,54.0667,-2.8333
3,3,1,4,1,3,1,5,1,5,3,4,4,2,4,5,4,2,3,3,4,5,1,3,4,5,3,3,4,2,1,5,4,3,2,3,2,3,4,5,5,4,4,5,4,2,3,5,4,4,7910,4769,2388,5682,5255,10471,790,4813,2750,2088,6182,5086,5087,6222,7783,5006,2565,4047,6146,4885,5666,5059,4759,7219,4401,667,7051,4691,5117,3431,6296,3504,8094,10877,6825,6758,5168,7339,4707,5724,7089,8515,5080,4491,5195,5812,5244,3515,2954,4797,2018-07-18T11:58:12Z,800,1280,4,267,6,2,GB,51.5,-0.13
3,2,5,2,4,2,4,4,4,2,4,3,4,3,2,3,3,3,3,1,2,5,2,5,2,4,1,4,5,4,3,2,4,1,2,1,4,2,4,3,4,2,5,3,3,1,4,4,4,4,19816,2001,2000,2516,2063,3549,4081,5861,2376,2110,2456,2485,4110,7987,7267,3470,2735,2391,2704,6923,5637,7579,2828,2329,3563,2375,3953,7611,1406,1689,4017,16499,2141,3313,3157,2954,1970,3546,2735,2844,1906,3439,2297,4954,6078,4423,1610,1688,1834,891,2017-10-23T18:21:08Z,1301,731,251,201,7,1,US,38.0,-97.0
1,2,2,3,3,2,1,4,2,5,2,4,3,4,4,1,1,1,1,2,3,4,1,4,4,4,4,3,4,4,2,4,2,4,1,5,3,3,2,4,4,1,5,1,5,1,5,4,5,5,4134,2742,9146,5244,2755,2880,3300,3222,3551,5834,3501,5132,11666,3262,2514,2448,2147,2791,5681,3479,9039,2232,2837,3565,3549,2959,5573,4796,3080,2524,4454,5916,2268,2749,4860,3937,3021,3302,2236,3606,2625,1415,1168,4333,2218,2710,2500,3166,3802,1862,2018-04-02T12:31:02Z,360,640,14,189,10,1,SE,59.3294,18.0686
1,4,3,4,2,2,2,5,2,5,1,4,1,5,3,1,2,1,1,1,3,3,1,3,3,3,3,3,3,3,3,1,4,2,2,1,4,2,3,4,2,2,5,1,4,1,4,3,4,5,7987,3392,2944,4576,2096,7016,5888,2176,1312,2968,3856,2888,2280,2528,4809,1744,2185,2888,2736,3672,4119,2648,1544,1480,4840,2472,2616,2832,2152,2504,2985,4080,2448,2864,2112,3224,3040,5112,2344,5313,1496,5489,5201,3040,1312,2777,8984,6017,3648,1568,2017-09-18T05:21:57Z,1920,1080,5,171,15,93,US,35.6838,-78.6636
1,3,1,3,2,4,1,0,1,5,5,1,5,1,4,5,3,5,5,5,1,5,4,5,1,5,1,3,5,3,3,5,5,5,3,5,5,1,4,3,4,1,5,1,4,1,4,1,4,5,4152,2117,1716,3700,3533,3116,3983,0,3788,2848,2317,2517,1383,2449,3016,2034,3500,2431,1799,1584,4399,6749,2650,3449,3614,2152,3400,6515,3665,2984,4600,1283,2217,1818,3816,7600,4750,4133,2351,2817,2799,3133,2699,3517,1884,3782,2485,5780,2915,1248,2016-09-07T09:46:19Z,1280,800,3,162,12,1,US,35.0887,-92.4421
1,4,2,4,2,4,2,4,2,4,1,4,1,5,2,1,2,1,2,1,4,2,4,2,5,2,4,2,2,2,3,2,3,2,2,2,4,4,4,4,2,1,5,3,3,1,4,2,5,2,8330,2585,33620,27824,1985,2863,6896,5083,4185,3360,3752,3928,8808,3824,4415,9344,9663,3672,2620,2440,4824,5616,1432,88667,4647,2680,9440,26122,5679,4864,3752,3240,5016,4833,3897,20738,4049,11024,10484,4464,2511,5408,7240,21199,2601,6479,8613,2520,3800,2145,2017-09-04T14:09:25Z,1920,1080,2,438,19,65,NZ,-41.0,174.0
